Timestamp,Difficulty [Introduction to Programming I],Difficulty [Introduction to Programming II],Difficulty [Computational Mathematics],Difficulty [Discrete Mathematics],Difficulty [Fundamentals of Computer Science],Difficulty [How Computers Work],Difficulty [Algorithms and Data Structures I],Difficulty [Web Development],Time [Introduction to Programming I],Time [Introduction to Programming II],Time [Computational Mathematics],Time [Discrete Mathematics],Time [Fundamentals of Computer Science],Time [How Computers Work],Time [Algorithms and Data Structures I],Time [Web Development],Quality [Introduction to Programming I],Quality [Introduction to Programming II],Quality [Computational Mathematics],Quality [Discrete Mathematics],Quality [Fundamentals of Computer Science],Quality [How Computers Work],Quality [Algorithms and Data Structures I],Quality [Web Development],Self-Learning [Introduction to Programming I],Self-Learning [Introduction to Programming II],Self-Learning [Computational Mathematics],Self-Learning [Discrete Mathematics],Self-Learning [Fundamentals of Computer Science],Self-Learning [How Computers Work],Self-Learning [Algorithms and Data Structures I],Self-Learning [Web Development],Learning [Introduction to Programming I],Learning [Introduction to Programming II],Learning [Computational Mathematics],Learning [Discrete Mathematics],Learning [Fundamentals of Computer Science],Learning [How Computers Work],Learning [Algorithms and Data Structures I],Learning [Web Development],Interest [Introduction to Programming I],Interest [Introduction to Programming II],Interest [Computational Mathematics],Interest [Discrete Mathematics],Interest [Fundamentals of Computer Science],Interest [How Computers Work],Interest [Algorithms and Data Structures I],Interest [Web Development]
07/04/2022 01:12:48,,,Easy,,Moderate,Easy,,Easy,,,2-4,,2-4,2-4,,2-4,,,Very Poor,,Poor,Good,,Very Poor,,,Not at all,,Hardly sufficient,Mostly sufficient,,Not at all,,,Nothing,,A Little,A Good Amount,,A Little,,,Boring,,Fine,Interesting,,Very Boring
07/04/2022 01:02:53,Moderate,,,Very Difficult,,,,,10+,,,6-8,,,,,Very Good,,,Poor,,,,,Mostly sufficient,,,Hardly sufficient,,,,,A Lot,,,A Lot,,,,,Very Interesting,,,Fine,,,,
07/04/2022 01:03:43,Very Easy,Difficult,Easy,Moderate,Difficult,,Moderate,Moderate,0-2,6-8,2-4,6-8,6-8,,2-4,10+,Normal,Normal,Poor,Normal,Normal,,Normal,Poor,Totally sufficient,Hardly sufficient,Just sufficient,Just sufficient,Just sufficient,,Mostly sufficient,Not at all,A Little,A Good Amount,A Little,A Good Amount,A Good Amount,,A Good Amount,A Little,Very Interesting,Very Interesting,Very Interesting,Very Interesting,Interesting,,Very Interesting,Fine
07/04/2022 01:15:39,Very Easy,Easy,Difficult,Moderate,Very Difficult,,Easy,Moderate,0-2,4-6,8-10,6-8,8-10,,0-2,4-6,Good,Poor,Normal,Normal,Very Poor,,Good,Very Poor,Totally sufficient,Mostly sufficient,Hardly sufficient,Just sufficient,Not at all,,Mostly sufficient,Not at all,A Little,Nothing,A Good Amount,A Little,A Lot,,A Little,A Little,Fine,Very Boring,Interesting,Boring,Very Interesting,,Fine,Boring
07/04/2022 01:17:02,Very Easy,Moderate,Difficult,Difficult,Very Difficult,,Difficult,Easy,0-2,10+,4-6,8-10,4-6,,6-8,6-8,Good,Normal,Normal,Normal,Normal,,Very Good,Poor,Totally sufficient,Hardly sufficient,Hardly sufficient,Just sufficient,Not at all,,Mostly sufficient,Not at all,A Good Amount,A Lot,A Little,A Lot,Nothing,,A Lot,Nothing,Fine,Boring,Very Boring,Boring,Very Boring,,Very Interesting,Very Boring
07/04/2022 01:25:06,Very Easy,Easy,Moderate,Moderate,Moderate,Very Easy,Moderate,Very Easy,4-6,6-8,6-8,6-8,6-8,0-2,6-8,8-10,Very Poor,Poor,Good,Good,Good,Very Poor,Good,Very Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,Not at all,Nothing,Nothing,A Good Amount,A Good Amount,A Good Amount,Nothing,A Good Amount,Nothing,Very Boring,Very Boring,Interesting,Interesting,Interesting,Very Boring,Interesting,Very Boring
07/04/2022 01:32:39,Very Easy,Moderate,Easy,Moderate,Moderate,Not Applicable,Easy,Easy,4-6,6-8,6-8,6-8,4-6,Not Applicable,6-8,6-8,Very Good,Poor,Normal,Poor,Poor,Not Applicable,Very Good,Very Poor,Totally sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Hardly sufficient,A Lot,A Little,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,Nothing,Very Interesting,Interesting,Fine,Interesting,Interesting,Not Applicable,Very Interesting,Very Boring
07/04/2022 01:51:41,Easy,Moderate,Moderate,Moderate,Difficult,Not Applicable,Moderate,Easy,,,,,,,,,Poor,Normal,Good,Very Good,Poor,Not Applicable,Good,Very Poor,Mostly sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,Hardly sufficient,Not Applicable,Mostly sufficient,Just sufficient,A Little,A Good Amount,A Good Amount,A Lot,Not Applicable,A Good Amount,A Good Amount,A Little,Boring,Interesting,Interesting,Very Interesting,Not Applicable,Fine,Interesting,Boring
07/04/2022 03:33:07,Very Easy,Easy,Moderate,Moderate,Moderate,Not Applicable,Easy,Easy,0-2,0-2,10+,10+,10+,Not Applicable,6-8,0-2,Very Good,Good,Normal,Good,Good,Not Applicable,Good,Very Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Not at all,A Little,A Good Amount,A Lot,A Lot,A Lot,Not Applicable,A Lot,Nothing,Very Interesting,Very Interesting,Interesting,Interesting,Interesting,Not Applicable,Very Interesting,Very Boring
07/04/2022 05:47:40,Easy,Very Difficult,Moderate,Difficult,Difficult,Not Applicable,Very Difficult,Very Easy,4-6,6-8,6-8,6-8,2-4,Not Applicable,4-6,0-2,Good,Poor,Poor,Very Poor,Good,Not Applicable,Very Good,,Mostly sufficient,Hardly sufficient,Hardly sufficient,Hardly sufficient,Totally sufficient,Not Applicable,Just sufficient,,A Good Amount,A Little,A Good Amount,A Good Amount,A Lot,Not Applicable,A Lot,A Good Amount,Interesting,Boring,Very Interesting,Interesting,Very Boring,Not Applicable,Very Boring,Very Interesting
07/04/2022 05:58:05,Easy,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,8-10,8-10,4-6,4-6,4-6,4-6,6-8,8-10,Very Good,Very Good,Poor,Poor,Normal,Good,Normal,Good,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,Very Interesting,Very Interesting,Fine,Fine,Interesting,Very Interesting,Fine,Interesting
09/08/2022 21:55:44,Very Easy,Easy,Moderate,Moderate,Difficult,Not Applicable,Moderate,Moderate,0-2,0-2,2-4,2-4,4-6,Not Applicable,0-2,0-2,Good,Normal,Poor,Normal,Normal,Not Applicable,Good,Poor,Totally sufficient,Totally sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Mostly sufficient,Nothing,Nothing,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Good Amount,Nothing,Boring,Very Boring,Boring,Fine,Fine,Not Applicable,Interesting,Boring
07/04/2022 08:21:25,Moderate,Moderate,Moderate,Difficult,Difficult,Not Applicable,,Moderate,2-4,2-4,4-6,6-8,4-6,Not Applicable,6-8,6-8,Very Good,Good,Normal,Normal,Good,Not Applicable,Normal,Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Just sufficient,Not at all,A Good Amount,A Lot,A Lot,A Lot,A Good Amount,Not Applicable,A Good Amount,A Little,Very Interesting,Very Interesting,Interesting,Interesting,Fine,Not Applicable,Interesting,Boring
07/04/2022 08:22:08,Easy,,,Moderate,,,,,2-4,,,4-6,,,,,Good,,,Normal,,,,,Totally sufficient,,,Just sufficient,,,,,A Good Amount,,,A Lot,,,,,Interesting,,,Boring,,,,
07/04/2022 09:00:54,Very Easy,Easy,Very Easy,Very Easy,Very Easy,Not Applicable,Easy,Very Easy,0-2,2-4,0-2,2-4,0-2,Not Applicable,4-6,8-10,Very Good,Very Good,Poor,Normal,Normal,Not Applicable,,,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Not Applicable,Totally sufficient,Mostly sufficient,Nothing,Nothing,Nothing,Nothing,Nothing,Not Applicable,Nothing,Nothing,Very Interesting,Very Interesting,Very Boring,Boring,Boring,Not Applicable,Very Interesting,Very Boring
07/04/2022 10:44:44,Easy,Moderate,Moderate,Difficult,Moderate,Not Applicable,Very Difficult,Moderate,2-4,6-8,4-6,6-8,4-6,Not Applicable,6-8,6-8,Very Good,Good,Good,Good,Very Good,Not Applicable,Normal,Normal,Mostly sufficient,Just sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,Not Applicable,Hardly sufficient,Just sufficient,A Lot,A Good Amount,A Good Amount,A Good Amount,A Lot,Not Applicable,A Little,A Little,Interesting,Fine,Fine,Fine,Interesting,Not Applicable,Boring,Fine
07/04/2022 10:57:09,Easy,Moderate,Moderate,Moderate,Moderate,Not Applicable,Moderate,Difficult,4-6,6-8,4-6,4-6,4-6,Not Applicable,4-6,10+,Very Good,Very Good,Poor,Normal,Poor,Not Applicable,Very Good,Very Poor,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Just sufficient,Not Applicable,Totally sufficient,Hardly sufficient,A Lot,A Lot,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,A Lot,Very Interesting,Very Interesting,Fine,Fine,Boring,Not Applicable,Very Interesting,Boring
07/04/2022 11:56:31,Easy,,,Difficult,,,,,4-6,,,10+,,,,,Good,,,Very Poor,,,,,Mostly sufficient,,,Hardly sufficient,,,,,A Good Amount,,,A Lot,,,,,Interesting,,,Very Boring,,,,
07/04/2022 13:11:23,Easy,Easy,Easy,Easy,Easy,Very Easy,Easy,Very Easy,0-2,0-2,2-4,2-4,2-4,0-2,2-4,0-2,Good,Good,Normal,Normal,Normal,Good,Good,Poor,Totally sufficient,Totally sufficient,Just sufficient,Just sufficient,Just sufficient,Just sufficient,Mostly sufficient,Hardly sufficient,A Lot,A Lot,A Little,A Good Amount,A Good Amount,Nothing,A Good Amount,A Little,Interesting,Interesting,Fine,Fine,Fine,Boring,Interesting,Fine
07/04/2022 13:18:48,Very Easy,Moderate,Easy,Difficult,Easy,Easy,Difficult,Easy,4-6,6-8,4-6,6-8,2-4,2-4,6-8,6-8,Very Good,Good,Normal,Poor,Good,Good,Poor,Very Poor,Totally sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Hardly sufficient,Just sufficient,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Little,Nothing,Very Interesting,Interesting,Interesting,Interesting,Interesting,Very Interesting,Fine,Fine
07/04/2022 16:01:05,Moderate,Not Applicable,Not Applicable,Moderate,Difficult,Moderate,Not Applicable,Not Applicable,8-10,Not Applicable,Not Applicable,6-8,6-8,4-6,Not Applicable,Not Applicable,Good,Not Applicable,Poor,Very Good,Normal,Normal,Normal,Normal,Totally sufficient,Not Applicable,Hardly sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Not Applicable,A Lot,Not Applicable,Not Applicable,A Lot,A Good Amount,A Little,Not Applicable,Not Applicable,Interesting,Not Applicable,Not Applicable,Very Interesting,Interesting,Boring,Not Applicable,Not Applicable
07/04/2022 16:03:47,Moderate,,,Easy,Moderate,Very Easy,,,10+,,,6-8,6-8,6-8,,,Very Good,,,Very Good,Good,Very Good,,,Totally sufficient,,,Totally sufficient,Mostly sufficient,Totally sufficient,,,A Lot,,,Not Applicable,A Lot,Not Applicable,,,Very Interesting,,,Very Interesting,Interesting,Very Interesting,,
07/04/2022 16:25:46,Easy,Moderate,Moderate,Easy,Difficult,Very Easy,Moderate,Difficult,0-2,2-4,2-4,2-4,4-6,0-2,0-2,4-6,Good,Normal,Poor,Good,Normal,Good,Normal,Very Poor,Mostly sufficient,Just sufficient,Hardly sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,Mostly sufficient,Not at all,A Good Amount,A Little,A Little,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Nothing,Interesting,Fine,Boring,Interesting,Fine,Interesting,Interesting,Very Boring
07/04/2022 16:38:43,Easy,Easy,,Difficult,Moderate,Not Applicable,Moderate,Moderate,6-8,6-8,,8-10,4-6,Not Applicable,6-8,8-10,Very Good,Very Good,,Good,Very Good,Not Applicable,Very Good,Normal,Mostly sufficient,Mostly sufficient,,Just sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Just sufficient,A Little,A Little,,A Lot,A Good Amount,Not Applicable,A Lot,A Little,Very Interesting,Very Interesting,,Very Interesting,Very Interesting,Not Applicable,Very Interesting,Interesting
07/04/2022 18:12:41,Easy,Moderate,Moderate,Very Difficult,Very Difficult,Not Applicable,Not Applicable,Easy,2-4,6-8,8-10,10+,10+,Not Applicable,Not Applicable,4-6,Very Good,Normal,Normal,Normal,Normal,Not Applicable,Not Applicable,Normal,Totally sufficient,Totally sufficient,Just sufficient,Hardly sufficient,Hardly sufficient,Not Applicable,Not Applicable,Totally sufficient,A Little,A Good Amount,A Lot,A Lot,A Lot,Not Applicable,Not Applicable,A Lot,Fine,Interesting,Interesting,Interesting,Interesting,Not Applicable,Not Applicable,Interesting
07/04/2022 18:14:46,Moderate,,,Very Difficult,,,,,6-8,,,10+,,,,,Normal,,,Very Poor,,,,,Totally sufficient,,,Totally sufficient,,,,,A Little,,,A Lot,,,,,Interesting,,,Interesting,,,,
07/04/2022 23:03:15,Moderate,Difficult,,Difficult,,Moderate,,Moderate,4-6,8-10,,4-6,,4-6,,10+,Very Good,Good,,Normal,,Very Good,,Normal,Totally sufficient,Mostly sufficient,,Hardly sufficient,,Totally sufficient,,Just sufficient,A Good Amount,A Good Amount,,A Good Amount,,A Lot,,A Good Amount,Very Interesting,Very Interesting,,Very Interesting,,Very Interesting,,Interesting
08/04/2022 10:24:09,Very Easy,Difficult,Difficult,Moderate,Moderate,Not Applicable,Easy,Moderate,4-6,4-6,4-6,6-8,4-6,Not Applicable,2-4,10+,Good,Normal,Very Poor,Very Good,Poor,Not Applicable,Good,Poor,Totally sufficient,Just sufficient,Not at all,Totally sufficient,Hardly sufficient,Not Applicable,Mostly sufficient,Just sufficient,Nothing,A Little,A Little,A Lot,A Good Amount,Not Applicable,A Good Amount,A Little,Fine,Fine,Very Boring,Very Interesting,Very Boring,Not Applicable,Interesting,Fine
08/04/2022 19:13:50,Very Easy,Not Applicable,Not Applicable,Moderate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0-2,Not Applicable,Not Applicable,6-8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Normal,Not Applicable,Not Applicable,Good,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Not Applicable,Totally sufficient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Little,Not Applicable,Not Applicable,A Lot,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fine,Not Applicable,Not Applicable,Very Interesting,Not Applicable,Not Applicable,Not Applicable,Not Applicable
09/04/2022 21:31:07,Easy,Difficult,Moderate,Moderate,Difficult,Moderate,Moderate,Difficult,4-6,10+,6-8,6-8,8-10,4-6,4-6,10+,Good,Good,Good,Good,Good,Normal,Good,Poor,Mostly sufficient,Hardly sufficient,Mostly sufficient,Just sufficient,Just sufficient,Hardly sufficient,Just sufficient,Not at all,A Little,A Good Amount,A Good Amount,A Good Amount,A Lot,A Little,A Good Amount,A Little,Fine,Interesting,Interesting,Interesting,Interesting,Fine,Interesting,Boring
10/04/2022 22:17:46,Easy,Very Difficult,Difficult,Moderate,Moderate,Easy,Moderate,Easy,4-6,10+,10+,8-10,8-10,8-10,4-6,4-6,Good,Poor,Normal,Normal,Normal,Normal,Normal,Poor,Totally sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Mostly sufficient,A Good Amount,Nothing,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Lot,A Little,Interesting,Fine,Boring,Fine,Interesting,Fine,Boring,Fine
15/04/2022 18:58:38,Very Easy,Easy,Difficult,Moderate,Moderate,Not Applicable,Very Easy,Very Easy,0-2,2-4,8-10,6-8,6-8,Not Applicable,4-6,2-4,Very Good,Very Good,Normal,Normal,Normal,Not Applicable,Very Good,Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Mostly sufficient,A Little,A Little,A Good Amount,A Good Amount,A Lot,Not Applicable,A Good Amount,A Little,Very Interesting,Very Interesting,Interesting,Interesting,Interesting,Not Applicable,Interesting,Very Boring
20/04/2022 20:32:50,Very Easy,Easy,Not Applicable,Difficult,Difficult,Easy,Difficult,Moderate,4-6,6-8,Not Applicable,8-10,8-10,6-8,8-10,8-10,Good,Good,Not Applicable,Good,Very Poor,Good,Very Good,Good,Totally sufficient,Totally sufficient,Not Applicable,Totally sufficient,Hardly sufficient,Totally sufficient,Totally sufficient,Mostly sufficient,A Lot,A Lot,Not Applicable,A Lot,A Little,A Lot,A Lot,A Lot,Very Interesting,Very Interesting,Not Applicable,Fine,Very Boring,Interesting,Very Interesting,Fine
17/05/2022 22:01:16,Difficult,Not Applicable,Difficult,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,10+,Not Applicable,10+,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Normal,Not Applicable,Very Poor,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not at all,Not Applicable,Not at all,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,A Good Amount,Not Applicable,A Lot,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Interesting,Not Applicable,Fine,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
08/06/2022 11:28:08,Easy,Difficult,Moderate,Moderate,Difficult,Not Applicable,Very Difficult,Moderate,4-6,8-10,4-6,4-6,6-8,Not Applicable,8-10,10+,Very Good,Poor,Normal,Good,Good,Not Applicable,Normal,Very Poor,Totally sufficient,Hardly sufficient,,Mostly sufficient,Mostly sufficient,Not Applicable,Just sufficient,Hardly sufficient,A Lot,A Lot,A Good Amount,A Good Amount,A Lot,Not Applicable,A Good Amount,A Good Amount,Very Interesting,Fine,Interesting,Interesting,Fine,Not Applicable,Fine,Very Boring
15/07/2022 20:37:04,Very Easy,Very Easy,Difficult,Difficult,Moderate,Very Easy,Moderate,Easy,2-4,2-4,4-6,4-6,2-4,0-2,2-4,0-2,Good,Good,Normal,Poor,Normal,Not Applicable,Normal,Very Poor,Totally sufficient,Totally sufficient,Just sufficient,Hardly sufficient,Mostly sufficient,Not Applicable,Mostly sufficient,Not at all,A Little,A Little,A Good Amount,A Good Amount,A Little,Nothing,A Little,Nothing,Fine,Fine,Fine,Boring,Fine,Very Boring,Fine,Very Boring
22/07/2022 07:52:30,Difficult,Very Difficult,Very Difficult,Difficult,Difficult,Difficult,Very Difficult,Moderate,6-8,6-8,6-8,6-8,6-8,6-8,6-8,6-8,Normal,Normal,Poor,Normal,Normal,Poor,Good,Normal,Not at all,Hardly sufficient,Hardly sufficient,Mostly sufficient,Hardly sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,A Little,A Good Amount,A Good Amount,A Little,A Good Amount,A Good Amount,A Little,A Little,Very Interesting,Interesting,Interesting,Interesting,Very Boring,Very Boring,Boring,Very Interesting
24/07/2022 04:13:47,Very Easy,Easy,Difficult,Difficult,Difficult,Moderate,Easy,Very Easy,2-4,4-6,6-8,6-8,6-8,2-4,4-6,2-4,Very Good,Good,Normal,Normal,Normal,Very Poor,Poor,Poor,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Just sufficient,Just sufficient,Just sufficient,Not Applicable,Not Applicable,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Good Amount,Not Applicable,Interesting,Very Interesting,Very Interesting,Very Interesting,Very Interesting,Boring,Very Interesting,Fine
03/08/2022 20:52:43,Moderate,Moderate,Difficult,Not Applicable,Moderate,,Easy,Easy,6-8,10+,6-8,10+,4-6,,4-6,10+,Very Good,Very Good,Poor,Normal,Poor,,Very Good,Normal,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,,Totally sufficient,Mostly sufficient,A Little,A Good Amount,A Lot,A Lot,A Good Amount,,A Lot,A Little,Very Interesting,Very Interesting,Fine,Interesting,Boring,,Very Interesting,Fine
09/08/2022 11:12:13,Very Easy,Easy,Easy,Easy,Easy,Not Applicable,Moderate,Easy,0-2,0-2,0-2,0-2,0-2,0-2,0-2,0-2,Very Good,Good,Normal,Normal,Good,Not Applicable,Very Good,Very Poor,Mostly sufficient,Mostly sufficient,Just sufficient,Hardly sufficient,Just sufficient,Not Applicable,Just sufficient,Not at all,A Lot,A Good Amount,A Little,A Little,A Little,Not Applicable,A Good Amount,Nothing,Very Interesting,Interesting,Boring,Boring,Interesting,Not Applicable,Interesting,Very Boring
09/08/2022 18:31:19,Very Easy,Moderate,Moderate,Moderate,Moderate,Not Applicable,Difficult,Moderate,2-4,4-6,4-6,4-6,4-6,Not Applicable,6-8,6-8,Very Good,Very Good,Normal,Good,Normal,Not Applicable,Poor,Poor,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Just sufficient,Just sufficient,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,A Lot,Very Interesting,Very Interesting,Fine,Fine,Fine,Not Applicable,Very Interesting,Very Interesting
09/08/2022 19:07:19,Easy,Moderate,Moderate,Difficult,Very Difficult,Very Easy,Moderate,Very Easy,0-2,2-4,4-6,4-6,2-4,2-4,2-4,0-2,Normal,Normal,Poor,Very Good,Good,Very Good,Very Good,Poor,Just sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Just sufficient,Hardly sufficient,A Little,A Good Amount,A Good Amount,A Lot,A Lot,A Lot,A Lot,A Little,Fine,Fine,Fine,Fine,Interesting,Interesting,Interesting,Very Boring
